StateNames,statecode,Year,schools_established,sc_schools,st_schools,tot_min_schools,SC_res,ST_res,Elec_Yrs_ECI,female_win_prop,SC_curr_share,ST_curr_share,sc_census_share,st_census_share,Population_Density_SqKm,sc_school_prop,st_school_prop,minority_schools_prop,ST_res_inter_ST_curr_share,SC_res_inter_SC_curr_share
Punjab,11,1997,312,58,0,58,24.7863247863248,0,1,5.93220338983051,29.71935276638311,0,31.93032221726416,0,375,.1858974358974359,0,.1858974358974359,0,736.6335301069322
Rajasthan,12,1997,2008,407,296,641,16.5829145728643,12.0603015075377,0,4.52261306532663,17.39195377644721,13.36744140631911,17.98084244213502,15.38220902241403,117,.2026892430278884,.1474103585657371,.3192231075697211,161.2153737445522,288.4092837300287
Tamil Nadu,13,1997,526,89,130,178,17.9487179487179,1.28205128205128,0,3.84615384615385,20.10454838047334,1.136737057550233,22.91389272945199,1.373543779818437,406,.1692015209125475,.247148288973384,.3384030418250951,1.457355201987475,360.8508683674692
Tripura,14,1997,45,10,5,15,11.6666666666667,33.3333333333333,0,1.66666666666667,17.0059028319226,32.65080780666605,16.25633059357289,35.93533503119696,236,.2222222222222222,.1111111111111111,.3333333333333333,1088.360260222201,198.4021997057642
Uttar Pradesh,15,1997,7314,1243,1275,2476,20.9905660377358,.235849056603774,0,4.71698113207547,21.76974624140895,.1200023827390525,23.15866576665233,.2430605490419866,503,.1699480448455018,.1743232157506153,.3385288487831556,.0283024487592105,456.9592961050453
West Bengal,16,1997,635,113,32,137,20.0680272108844,5.78231292517007,0,6.802721088435371,24.33714754991698,6.026268452449517,27.55783813949599,7.317037403248637,706,.1779527559055118,.0503937007874016,.215748031496063,34.84576996314348,488.3985392670426
Assam,17,1997,483,89,86,175,5.73770491803279,13.1147540983607,0,4.87804878048781,6.958884202957044,17.06337959286141,7.177020862692229,18.12883900942698,264,.1842650103519669,.1780538302277433,.3623188405797101,223.7820274473634,39.92802411532733
Andhra Pradesh,1,1998,4123,679,741,1420,13.265306122449,5.10204081632653,0,2.72108843537415,16.58280250604748,6.890510349347235,18.01415490570492,7.980632683709851,228,.1646859083191851,.1797235023041475,.3444094106233325,35.15566504768996,219.9759516108342
Bihar,2,1998,539,76,66,140,14.8148148148148,8.641975308641971,0,3.39506172839506,15.5884931370348,2.948863520197259,15.24515394283286,8.202532414294881,646,.1410018552875696,.1224489795918367,.2597402597402597,25.48400573009976,230.940639067182
Delhi,3,1998,108,0,0,0,18.5714285714286,0,1,12.6760563380282,17.05992578602476,0,21.88670616710519,0,5705,0,0,0,0,316.8271931690317
Gujarat,4,1998,716,167,45,212,7.14285714285714,14.2857142857143,1,2.1978021978022,7.076866682719732,15.91181700753735,7.018281176348045,20.92550337408056,200,.2332402234636871,.0628491620111732,.2960893854748604,227.3116715362481,50.54904773371235
Haryana,5,1998,539,51,0,51,18.8888888888889,0,0,5.49450549450549,19.79262860139455,0,21.55933352373425,0,348,.0946196660482375,0,.0946196660482375,0,373.8607624707861
Karnataka,6,1998,1682,306,320,472,14.7321428571429,.892857142857143,0,3.125,16.59960052436925,6.29075340932961,18.16959335536851,5.244695160478249,223,.1819262782401903,.1902497027348395,.2806183115338882,5.616744115472867,244.547686296512
Kerala,7,1998,178,29,48,68,9.28571428571429,.714285714285714,0,9.15492957746479,10.07276167671661,1.211453656278521,10.98094781341347,1.446263705151277,721,.1629213483146068,.2696629213483146,.3820224719101123,.8653240401989434,93.53278699808283
Maharashtra,8,1998,993,119,211,330,6.25,7.638888888888889,0,3.81944444444444,10.42435602842136,9.626477579617168,11.47212532808509,13.23635592416757,241,.1198388721047331,.2124874118831823,.3323262839879154,73.5355926220756,65.15222517763348
Madhya Pradesh,9,1998,10005,1347,2298,3645,13.4375,23.4375,1,8.099688473520249,15.07112560046456,22.53927190743838,14.79553269123193,28.81994026513299,148,.1346326836581709,.2296851574212894,.3643178410794602,528.2641853305871,202.5182502562425
Odisha,10,1998,440,78,84,148,14.9659863945578,23.1292517006803,0,5.40540540540541,16.56643431283297,22.66123004041577,16.69538828663288,24.32293920751082,193,.1772727272727273,.1909090909090909,.3363636363636364,524.137293451794,247.9330305321938
Punjab,11,1998,251,39,0,39,24.7863247863248,0,0,5.93220338983051,29.47259344185437,0,31.93032221726416,0,382,.1553784860557769,0,.1553784860557769,0,730.5172733451087
Rajasthan,12,1998,1992,456,294,671,16.5,12,1,7.000000000000001,17.3249790722926,13.13830563128491,17.98084244213502,15.38220902241403,120,.2289156626506024,.1475903614457831,.336847389558233,157.659667575419,285.8621546928279
Tamil Nadu,13,1998,689,98,152,213,17.9487179487179,1.28205128205128,0,3.84615384615385,19.7898121329684,1.110206438487161,22.91389272945199,1.373543779818437,412,.1422351233671988,.2206095791001451,.3091436865021771,1.423341587804051,355.2017562327653
Tripura,14,1998,21,1,4,5,11.6666666666667,33.3333333333333,1,4.91803278688525,17.10514008599065,32.21595143272971,16.25633059357289,35.93533503119696,243,.0476190476190476,.1904761904761905,.2380952380952381,1073.865047757656,199.5599676698915
Uttar Pradesh,15,1998,8818,1455,1314,2787,20.9905660377358,.235849056603774,0,4.71698113207547,21.59742407086337,.1047343096411964,23.15866576665233,.2430605490419866,514,.1650034021320027,.1490133817192107,.3160580630528464,.0247014881229237,453.3421562044422
West Bengal,16,1998,828,75,72,135,20.0680272108844,5.78231292517007,0,6.802721088435371,23.96354763997808,5.876538376340623,27.55783813949599,7.317037403248637,721,.0905797101449275,.0869565217391304,.1630434782608696,33.97998380877232,480.9011261084048
Assam,17,1998,439,87,59,146,5.73770491803279,13.1147540983607,0,4.87804878048781,6.929479720360105,16.91975119524315,7.177020862692229,18.12883900942698,269,.1981776765375854,.1343963553530752,.3325740318906606,221.8983763310585,39.75930987091866
Andhra Pradesh,1,1999,2212,256,287,543,13.265306122449,5.10204081632653,1,9.52380952380952,16.44216470783148,6.783400744370856,18.01415490570492,7.980632683709851,233,.1157323688969259,.129746835443038,.2454792043399638,34.60918747127987,218.1103481651118
Bihar,2,1999,1106,117,67,178,14.8148148148148,8.641975308641971,0,3.39506172839506,15.63369738090312,2.257178221890277,15.24515394283286,8.202532414294881,659,.1057866184448463,.0605786618444846,.1609403254972875,19.50647846078017,231.6103315689349
Delhi,3,1999,73,2,0,2,18.5714285714286,0,0,12.6760563380282,17.00186748976882,0,21.88670616710519,0,5920,.0273972602739726,0,.0273972602739726,0,315.7489676671358
Gujarat,4,1999,785,197,96,293,7.14285714285714,14.2857142857143,0,2.1978021978022,7.081795721992122,15.48996444315259,7.018281176348045,20.92550337408056,204,.2509554140127389,.1222929936305732,.3732484076433121,221.2852063307515,50.58425515708656
Haryana,5,1999,630,43,0,43,18.8888888888889,0,0,5.49450549450549,19.63117076528481,0,21.55933352373425,0,356,.0682539682539682,0,.0682539682539682,0,370.8110033442688
Karnataka,6,1999,967,211,197,307,14.7321428571429,.892857142857143,1,2.67857142857143,16.45590457870417,6.386494817579918,18.16959335536851,5.244695160478249,227,.218200620475698,.203722854188211,.3174767321613237,5.702227515696356,242.4307370969817
Kerala,7,1999,181,61,46,69,9.28571428571429,.714285714285714,0,9.15492957746479,9.979378120133036,1.187307320989151,10.98094781341347,1.446263705151277,730,.3370165745856354,.2541436464088398,.3812154696132597,.8480766578493933,92.66565397266395
Maharashtra,8,1999,1567,273,277,550,6.25,7.638888888888889,1,4.16666666666667,10.34126737734989,9.340210072209612,11.47212532808509,13.23635592416757,246,.1742182514358647,.1767708998085514,.3509891512444161,71.34882694049008,64.63292110843679
Madhya Pradesh,9,1999,4358,432,777,1209,13.4375,23.4375,0,8.099688473520249,15.10537302372915,21.75877294401575,14.79553269123193,28.81994026513299,151,.0991280403854979,.1782927948600275,.2774208352455255,509.9712408753691,202.9784500063605
Odisha,10,1999,831,66,146,203,14.9659863945578,23.1292517006803,0,5.40540540540541,16.55196865590021,22.47484366643239,16.69538828663288,24.32293920751082,196,.0794223826714801,.1756919374247894,.2442839951865223,519.8263160943552,247.7165377073497
Punjab,11,1999,259,32,0,32,24.7863247863248,0,0,5.93220338983051,29.24807432982167,0,31.93032221726416,0,389,.1235521235521236,0,.1235521235521236,0,724.9522697135289
Rajasthan,12,1999,10252,1878,2068,3651,16.5,12,0,7.000000000000001,17.26382049949834,12.92906159124503,17.98084244213502,15.38220902241403,123,.1831837690206789,.2017167381974249,.3561256340226298,155.1487390949404,284.8530382417226
Tamil Nadu,13,1999,695,120,187,242,17.9487179487179,1.28205128205128,0,3.84615384615385,19.5032336656389,1.086049510399765,22.91389272945199,1.373543779818437,418,.1726618705035971,.2690647482014388,.3482014388489209,1.392371167179184,350.0580401524921
Tripura,14,1999,34,3,4,7,11.6666666666667,33.3333333333333,0,4.91803278688525,17.19871308350782,31.80594880023156,16.25633059357289,35.93533503119696,250,.0882352941176471,.1176470588235294,.2058823529411765,1060.198293341051,200.6516526409252
Uttar Pradesh,15,1999,5965,896,833,1662,20.9905660377358,.235849056603774,0,4.71698113207547,21.43724229735446,.0905425429669536,23.15866576665233,.2430605490419866,526,.1502095557418273,.1396479463537301,.2786253143336128,.0213543733412627,449.9798501095619
West Bengal,16,1999,2774,820,218,951,20.0680272108844,5.78231292517007,0,6.802721088435371,23.6210469684333,5.73927349620746,27.55783813949599,7.317037403248637,737,.2956020187454939,.0785868781542898,.3428262436914203,33.18627531820641,474.0278133120981
Assam,17,1999,480,75,53,128,5.73770491803279,13.1147540983607,0,4.87804878048781,6.901634818043085,16.78376393456303,7.177020862692229,18.12883900942698,275,.15625,.1104166666666667,.2666666666666667,220.114936846729,39.59954403795215
Andhra Pradesh,1,2000,2452,301,290,591,13.265306122449,5.10204081632653,0,9.52380952380952,16.31209196148937,6.684337472223355,18.01415490570492,7.980632683709851,237,.1227569331158238,.1182707993474715,.2410277324632953,34.10376261338445,216.384893366696
Bihar,2,2000,1048,350,274,595,14.8148148148148,8.641975308641971,1,6.11620795107034,15.67802324266832,1.578916449271183,15.24515394283286,8.202532414294881,672,.3339694656488549,.2614503816793893,.5677480916030534,13.64495696901021,232.2670110024935
Delhi,3,2000,223,1,0,1,18.5714285714286,0,0,12.6760563380282,16.95572689886706,0,21.88670616710519,0,6136,.0044843049327354,0,.0044843049327354,0,314.8920709789601
Gujarat,4,2000,916,246,101,347,7.14285714285714,14.2857142857143,0,2.1978021978022,7.086243178908533,15.10933897343188,7.018281176348045,20.92550337408056,207,.2685589519650655,.1102620087336244,.37882096069869,215.8476996204556,50.6160227064895
Haryana,5,2000,719,80,0,80,18.8888888888889,0,1,4.3956043956044,19.48363371157158,0,21.55933352373425,0,364,.1112656467315716,0,.1112656467315716,0,368.0241923296855
Karnataka,6,2000,949,190,210,306,14.7321428571429,.892857142857143,0,2.67857142857143,16.32456391932286,6.474005488623827,18.16959335536851,5.244695160478249,231,.2002107481559536,.2212855637513172,.3224446786090622,5.780362043414132,240.495807740025
Kerala,7,2000,367,70,109,137,9.28571428571429,.714285714285714,0,9.15492957746479,9.892311969661151,1.164795327026063,10.98094781341347,1.446263705151277,740,.1907356948228883,.2970027247956403,.3732970027247957,.8319966621614729,91.85718257542501
Maharashtra,8,2000,2245,394,300,694,6.25,7.638888888888889,0,4.16666666666667,10.26693223420576,9.084103626539445,11.47212532808509,13.23635592416757,252,.1755011135857461,.133630289532294,.3091314031180401,69.39245825828743,64.168326463786
Madhya Pradesh,9,2000,2987,715,409,1124,13.4375,23.4375,0,8.099688473520249,15.13852597116368,21.00325714297451,14.79553269123193,28.81994026513299,155,.2393706059591564,.136926682289923,.3762972882490793,492.2638392884651,203.423942737512
Odisha,10,2000,337,36,82,109,14.9659863945578,23.1292517006803,1,8.84353741496599,16.53826286461115,22.29820672781183,16.69538828663288,24.32293920751082,200,.1068249258160237,.2433234421364985,.3234421364985163,515.7408358813627,247.511417021391
Punjab,11,2000,414,74,0,74,24.7863247863248,0,0,5.93220338983051,29.04291945511758,0,31.93032221726416,0,396,.178743961352657,0,.178743961352657,0,719.8672343576158
Rajasthan,12,2000,2397,524,309,775,16.5,12,0,7.000000000000001,17.20774851306508,12.73722493660272,17.98084244213502,15.38220902241403,126,.2186065915727993,.1289111389236546,.3233208176887776,152.8466992392326,283.9278504655739
Tamil Nadu,13,2000,482,74,100,144,17.9487179487179,1.28205128205128,0,3.84615384615385,19.2411989149118,1.063963007621612,22.91389272945199,1.373543779818437,423,.1535269709543569,.2074688796680498,.2987551867219917,1.364055137976423,345.3548523189287
Tripura,14,2000,41,6,7,13,11.6666666666667,33.3333333333333,0,4.91803278688525,17.28709332437257,31.41866680202041,16.25633059357289,35.93533503119696,256,.1463414634146341,.1707317073170732,.3170731707317073,1047.288893400679,201.6827554510139
Uttar Pradesh,15,2000,7517,1262,1301,2532,20.9905660377358,.235849056603774,0,4.71698113207547,21.28796160856483,.0773165893652167,23.15866576665233,.2430605490419866,537,.1678861247838233,.1730743647731808,.3368365039244379,.0182350446616077,446.8463639533645
West Bengal,16,2000,5596,1443,715,1723,20.0680272108844,5.78231292517007,0,6.802721088435371,23.30591724712122,5.612976893860655,27.55783813949599,7.317037403248637,752,.2578627591136526,.1277698355968549,.3078984989278056,32.45598884205142,467.7037814898487
Assam,17,2000,396,107,50,157,5.73770491803279,13.1147540983607,0,4.87804878048781,6.875236023084347,16.65481644120064,7.177020862692229,18.12883900942698,280,.2702020202020202,.1262626262626263,.3964646464646465,218.4238221796812,39.44807554228726
Andhra Pradesh,1,2001,5104,969,514,1483,13.265306122449,5.10204081632653,0,9.52380952380952,16.1914379564353,6.592446579882876,16.1914379564353,6.592446579882876,242,.1898510971786834,.100705329153605,.2905564263322884,33.63493153001467,214.7843810547543
Bihar,2,2001,650,177,223,383,14.8148148148148,8.641975308641971,0,6.11620795107034,15.72149687652823,.9136923170511412,15.72149687652823,.9136923170511412,685,.2723076923076923,.3430769230769231,.5892307692307692,7.896106443651833,232.911064837455
Delhi,3,2001,77,1,0,1,18.5714285714286,0,0,12.6760563380282,16.91818934859208,0,16.91818934859208,0,6352,.012987012987013,0,.012987012987013,0,314.1949450452819
Gujarat,4,2001,1071,247,123,370,7.14285714285714,14.2857142857143,0,2.1978021978022,7.090276084255423,14.7641796887558,7.090276084255423,14.7641796887558,211,.2306255835667601,.1148459383753501,.3454715219421102,210.9168526965117,50.644829173253
Haryana,5,2001,746,77,0,77,18.8888888888889,0,0,4.3956043956044,19.34828261296851,0,19.34828261296851,0,372,.1032171581769437,0,.1032171581769437,0,365.4675604671833
Karnataka,6,2001,980,179,232,330,14.7321428571429,.892857142857143,0,2.67857142857143,16.20404717739804,6.554303055471767,16.20404717739804,6.554303055471767,235,.1826530612244898,.236734693877551,.336734693877551,5.852056299528364,238.7203378813111
Kerala,7,2001,187,38,35,59,9.28571428571429,.714285714285714,1,5.71428571428571,9.810949112937148,1.143760316373282,9.810949112937148,1.143760316373282,749,.2032085561497326,.1871657754010695,.3155080213903743,.816971654552344,91.10167033441643
Maharashtra,8,2001,2833,345,503,848,6.25,7.638888888888889,0,4.16666666666667,10.20003720738115,8.853630842641897,10.20003720738115,8.853630842641897,257,.1217790328273915,.1775503000352983,.2993293328626897,67.63190227018116,63.75023254613218
Madhya Pradesh,9,2001,6138,1507,889,2396,13.4375,23.4375,0,8.099688473520249,15.1706328474091,20.27154062693984,15.1706328474091,20.27154062693984,158,.2455197132616488,.1448354512870642,.3903551645487129,475.1142334439025,203.8553788870598
Odisha,10,2001,381,69,40,108,14.9659863945578,23.1292517006803,0,8.84353741496599,16.52525250878557,22.13056987892294,16.52525250878557,22.13056987892294,203,.1811023622047244,.1049868766404199,.2834645669291339,511.8635210091027,247.316704213117
Punjab,11,2001,928,158,0,158,24.7863247863248,0,0,5.93220338983051,28.8547283901116,0,28.8547283901116,0,403,.1702586206896552,0,.1702586206896552,0,715.202669498493
Rajasthan,12,2001,5676,979,1258,2110,16.5,12,0,7.000000000000001,17.15615719543503,12.56071351488947,17.15615719543503,12.56071351488947,129,.1724806201550388,.2216349541930937,.3717406624383369,150.7285621786736,283.076593724678
Tamil Nadu,13,2001,517,72,102,146,17.9487179487179,1.28205128205128,1,10.6837606837607,19.00068101173933,1.043688668141885,19.00068101173933,1.043688668141885,429,.1392649903288201,.1972920696324952,.2823984526112185,1.338062395053696,341.0378643132691
Tripura,14,2001,28,6,5,11,11.6666666666667,33.3333333333333,0,4.91803278688525,17.37070139031502,31.05229646258771,17.37070139031502,31.05229646258771,263,.2142857142857143,.1785714285714286,.3928571428571428,1035.076548752923,202.6581828870092
Uttar Pradesh,15,2001,7192,1314,1107,2405,20.9905660377358,.235849056603774,0,4.71698113207547,21.14850582276538,.0649604997164796,21.14850582276538,.0649604997164796,548,.1827030033370411,.1539210233592881,.3343993325917686,.0153208725746414,443.9191080721967
West Bengal,16,2001,3655,773,457,1129,20.0680272108844,5.78231292517007,1,9.52380952380952,23.01500406660595,5.496386913936564,23.01500406660595,5.496386913936564,767,.2114911080711354,.1250341997264022,.3088919288645691,31.78182909419103,461.8657278672634
Assam,17,2001,376,62,52,114,6.349206349206351,12.6984126984127,1,7.8125,6.850170066036583,16.53238307641102,6.850170066036583,16.53238307641102,286,.1648936170212766,.1382978723404255,.3031914893617021,209.9350231925209,43.49314327642276
Andhra Pradesh,1,2002,2960,495,310,805,13.265306122449,5.10204081632653,0,9.52380952380952,16.21521977392421,6.636852083850442,16.1914379564353,6.592446579882876,246,.1672297297297297,.1047297297297297,.2719594594594595,33.86149022372674,215.099854143893
Bihar,2,2002,553,153,86,234,14.8148148148148,8.641975308641971,0,6.11620795107034,15.7451532837403,.9589782598123483,15.72149687652823,.9136923170511412,705,.2766726943942134,.1555153707052441,.4231464737793852,8.287466442822758,233.2615301294858
Delhi,3,2002,97,0,0,0,18.5714285714286,0,0,12.6760563380282,16.89845697014688,0,16.91818934859208,0,6651,0,0,0,0,313.8284865884426
Gujarat,4,2002,1070,272,86,358,7.14285714285714,14.2857142857143,1,6.48648648648649,7.049442722571171,14.7629687984894,7.090276084255423,14.7641796887558,216,.2542056074766355,.0803738317757009,.3345794392523365,210.8995542641345,50.35316230407977
Haryana,5,2002,395,63,0,63,18.8888888888889,0,0,4.3956043956044,19.44498311960527,0,19.34828261296851,0,383,.1594936708860759,0,.1594936708860759,0,367.2941255925442
Karnataka,6,2002,991,201,196,306,14.7321428571429,.892857142857143,0,2.67857142857143,16.31118794219346,6.599876337297659,16.20404717739804,6.554303055471767,239,.2028254288597376,.1977800201816347,.3087790110998991,5.892746729730054,240.2987509341008
Kerala,7,2002,338,49,44,80,9.28571428571429,.714285714285714,0,5.71428571428571,9.736606308118958,1.175873011190161,9.810949112937148,1.143760316373282,756,.1449704142011834,.1301775147928994,.2366863905325444,.8399092937072571,90.41134428967608
Maharashtra,8,2002,1768,239,319,558,6.25,7.638888888888889,0,4.16666666666667,10.3843006452277,8.910627420000109,10.20003720738115,8.853630842641897,263,.1351809954751131,.1804298642533937,.3156108597285068,68.0672927916675,64.90187903267314
Madhya Pradesh,9,2002,3729,638,790,1428,13.4375,23.4375,0,8.099688473520249,15.22331089847454,20.36804105606118,15.1706328474091,20.27154062693984,162,.1710914454277286,.2118530437114508,.3829444891391794,477.375962251434,204.5632401982516
Odisha,10,2002,693,167,350,450,14.9659863945578,23.1292517006803,0,8.84353741496599,16.59280509182668,22.21138548770235,16.52525250878557,22.13056987892294,206,.240981240981241,.5050505050505051,.6493506493506493,513.7327255659054,248.3276952518275
Punjab,11,2002,447,75,0,75,24.7863247863248,0,1,6.83760683760684,29.20088496646595,0,28.8547283901116,0,411,.1677852348993289,0,.1677852348993289,0,723.7826188269341
Rajasthan,12,2002,5230,696,1041,1668,16.5,12,0,7.000000000000001,17.2360919946493,12.66959391480142,17.15615719543503,12.56071351488947,133,.1330783938814531,.1990439770554493,.3189292543021032,152.035126977617,284.3955179117135
Tamil Nadu,13,2002,1237,149,217,331,17.9487179487179,1.28205128205128,0,10.6837606837607,19.11586234696113,1.050269727834796,19.00068101173933,1.043688668141885,434,.1204527081649151,.1754244139046079,.2675828617623282,1.346499651070249,343.105221612122
Tripura,14,2002,33,8,6,14,11.6666666666667,33.3333333333333,0,4.91803278688525,17.4222296417811,31.13232187771239,17.37070139031502,31.05229646258771,267,.2424242424242424,.1818181818181818,.4242424242424243,1037.744062590412,203.2593458207801
Uttar Pradesh,15,2002,6489,1036,1042,1984,22.0843672456576,0,1,6.403940886699511,21.09544372374176,.1242007496808065,21.14850582276538,.0649604997164796,562,.1596548004314995,.1605794421328402,.3057481892433349,0,465.8795264052156
West Bengal,16,2002,4012,550,425,843,20.0680272108844,5.78231292517007,0,9.52380952380952,23.0711099028151,5.530841161713215,23.01500406660595,5.496386913936564,781,.1370887337986042,.1059322033898305,.2101196410767697,31.98105433643697,462.9916613149981
Assam,17,2002,376,65,47,112,6.349206349206351,12.6984126984127,0,7.8125,6.884726316520593,16.58325935532142,6.850170066036583,16.53238307641102,291,.1728723404255319,.125,.2978723404255319,210.5810711786847,43.7125480414006
Andhra Pradesh,1,2003,1564,304,180,484,13.265306122449,5.10204081632653,0,9.52380952380952,16.23849039087678,6.680303072148392,16.1914379564353,6.592446579882876,249,.1943734015345268,.1150895140664962,.309462915601023,34.08317893953261,215.4085460014269
Bihar,2,2003,680,171,86,246,14.8148148148148,8.641975308641971,0,6.11620795107034,15.76766371816282,1.002072972930644,15.72149687652823,.9136923170511412,724,.2514705882352941,.1264705882352941,.3617647058823529,8.659889889524079,233.5950180468564
Delhi,3,2003,98,0,0,0,18.5714285714286,0,1,10,16.87953326480119,0,16.91818934859208,0,6950,0,0,0,0,313.4770463463084
Gujarat,4,2003,935,257,74,331,7.14285714285714,14.2857142857143,0,6.48648648648649,7.0101251973596,14.76180448318312,7.090276084255423,14.7641796887558,220,.2748663101604278,.079144385026738,.3540106951871658,210.8829211883305,50.07232283828284
Haryana,5,2003,431,58,0,58,18.8888888888889,0,0,4.3956043956044,19.53798754331403,0,19.34828261296851,0,393,.1345707656612529,0,.1345707656612529,0,369.0508758181542
Karnataka,6,2003,1400,323,306,491,14.7321428571429,.892857142857143,0,2.67857142857143,16.41508733592444,6.64407086676689,16.20404717739804,6.554303055471767,243,.2307142857142857,.2185714285714286,.3507142857142857,5.932206131041868,241.8294116453161
Kerala,7,2003,321,45,40,69,9.28571428571429,.714285714285714,0,5.71428571428571,9.66298733628595,1.207673210599972,9.810949112937148,1.143760316373282,763,.1401869158878505,.1246105919003115,.2149532710280374,.8626237218571225,89.72773955122672
Maharashtra,8,2003,1996,252,354,606,6.25,7.638888888888889,0,4.16666666666667,10.56285233333075,8.965856289170208,10.20003720738115,8.853630842641897,269,.12625250501002,.1773547094188377,.3036072144288577,68.48917998671688,66.01782708331717
Madhya Pradesh,9,2003,4206,780,553,1333,14.7826086956522,17.8260869565217,1,8.260869565217389,15.27393096402796,20.46076844419237,15.1706328474091,20.27154062693984,166,.1854493580599144,.1314788397527342,.3169281978126486,364.7354374834284,225.7885446856312
Odisha,10,2003,668,87,105,184,14.9659863945578,23.1292517006803,0,8.84353741496599,16.65851184870296,22.2899955104014,16.52525250878557,22.13056987892294,210,.1302395209580838,.157185628742515,.2754491017964072,515.5509165671077,249.3110616812684
Punjab,11,2003,399,54,0,54,24.7863247863248,0,0,6.83760683760684,29.53767888286033,0,28.8547283901116,0,419,.1353383458646616,0,.1353383458646616,0,732.1305022247437
Rajasthan,12,2003,2283,461,279,693,16.5,12,1,6,17.31275934840712,12.77402367780071,17.15615719543503,12.56071351488947,136,.2019272886552781,.1222076215505913,.3035479632063075,153.2882841336086,285.6605292487175
Tamil Nadu,13,2003,809,120,154,233,17.9487179487179,1.28205128205128,0,10.6837606837607,19.22755664924308,1.056649996723589,19.00068101173933,1.043688668141885,439,.1483312731767614,.1903584672435105,.2880098887515451,1.354679482978958,345.1099911402595
Tripura,14,2003,46,8,9,17,11.6666666666667,33.3333333333333,1,3.33333333333333,17.47229782772227,31.21000101391985,17.37070139031502,31.05229646258771,271,.1739130434782609,.1956521739130435,.3695652173913043,1040.33336713066,203.8434746567604
Uttar Pradesh,15,2003,6807,1232,1125,2308,22.0843672456576,0,0,6.403940886699511,21.04444459415974,.1811378335880405,21.14850582276538,.0649604997164796,576,.1809901571911268,.1652710445130013,.3390627295431174,0,464.7532428983174
West Bengal,16,2003,3950,443,402,795,20.0680272108844,5.78231292517007,0,9.52380952380952,23.12570530423006,5.56436711550988,23.01500406660595,5.496386913936564,794,.1121518987341772,.1017721518987342,.2012658227848101,32.17491189240408,464.0872833161826
Assam,17,2003,1477,249,238,487,6.349206349206351,12.6984126984127,0,7.8125,6.918141775429887,16.6324560761339,6.850170066036583,16.53238307641102,297,.1685849695328368,.1611374407582938,.3297224102911307,211.2057914429702,43.92470968526914
Andhra Pradesh,1,2004,1801,395,171,566,13.265306122449,5.10204081632653,1,8.783783783783781,16.26126738504798,6.722829994111628,16.1914379564353,6.592446579882876,252,.2193225985563576,.0949472515269295,.3142698500832871,34.30015303118176,215.7106898016572
Bihar,2,2004,362,67,67,127,14.8148148148148,8.641975308641971,0,6.11620795107034,15.78911198082697,1.043132879262489,15.72149687652823,.9136923170511412,744,.1850828729281768,.1850828729281768,.3508287292817679,9.014728586219038,233.9127700863252
Delhi,3,2004,115,1,0,1,18.5714285714286,0,0,10,16.86135857570632,0,16.91818934859208,0,7248,.008695652173913,0,.008695652173913,0,313.1395164059749
Gujarat,4,2004,922,307,99,406,7.14285714285714,14.2857142857143,0,6.48648648648649,6.972242629980213,14.76068074061941,7.090276084255423,14.7641796887558,225,.3329718004338395,.1073752711496746,.4403470715835141,210.8668677231346,49.80173307128722
Haryana,5,2004,432,95,0,95,18.8888888888889,0,0,4.3956043956044,19.62750048166541,0,19.34828261296851,0,404,.2199074074074074,0,.2199074074074074,0,370.7416757647912
Karnataka,6,2004,1059,178,228,305,14.7321428571429,.892857142857143,1,2.67857142857143,16.51589178812183,6.6869481665293,16.20404717739804,6.554303055471767,247,.1680830972615675,.2152974504249292,.2880075542965062,5.970489434401162,243.3144772357241
Kerala,7,2004,250,50,29,70,9.28571428571429,.714285714285714,0,5.71428571428571,9.59008417624087,1.239165380718138,9.810949112937148,1.143760316373282,770,.2,.116,.28,.8851181290843839,89.0507816365224
Maharashtra,8,2004,2162,327,468,795,6.25,7.638888888888889,1,4.16666666666667,10.73595457869727,9.019400183432365,10.20003720738115,8.853630842641897,274,.1512488436632747,.2164662349676226,.3677150786308973,68.89819584566391,67.09971611685795
Madhya Pradesh,9,2004,1272,245,145,390,14.7826086956522,17.8260869565217,0,8.260869565217389,15.32260783685145,20.54993921053959,15.1706328474091,20.27154062693984,169,.1926100628930818,.1139937106918239,.3066037735849056,366.3250033183136,226.5081158491089
Odisha,10,2004,826,163,56,214,14.9659863945578,23.1292517006803,1,7.48299319727891,16.72244784956285,22.36648710367087,16.52525250878557,22.13056987892294,213,.1973365617433414,.0677966101694915,.2590799031476997,517.3201098808236,250.26792700026
Punjab,11,2004,438,68,0,68,24.7863247863248,0,0,6.83760683760684,29.86549264943298,0,28.8547283901116,0,427,.1552511415525114,0,.1552511415525114,0,740.2558007124419
Rajasthan,12,2004,2337,444,283,675,16.5,12,0,6,17.38635558611762,12.87426856379512,17.15615719543503,12.56071351488947,140,.189987163029525,.1210954214805306,.2888318356867779,154.4912227655414,286.8748671709407
Tamil Nadu,13,2004,487,70,87,123,17.9487179487179,1.28205128205128,0,10.6837606837607,19.33591990850367,1.062841518511395,19.00068101173933,1.043688668141885,444,.1437371663244353,.1786447638603696,.2525667351129364,1.362617331424864,347.0549727167316
Tripura,14,2004,277,33,66,99,11.6666666666667,33.3333333333333,0,3.33333333333333,17.52091876477765,31.28551237320136,17.37070139031502,31.05229646258771,276,.1191335740072202,.2382671480144404,.3574007220216607,1042.850412440044,204.4107189224065
