StateNames,statecode,Year,schools_established,sc_schools,st_schools,tot_min_schools,SC_res,ST_res,Elec_Yrs_ECI,female_win_prop,SC_curr_share,ST_curr_share,sc_census_share,st_census_share,Population_Density_SqKm,sc_school_prop,st_school_prop,minority_schools_prop,ST_res_inter_ST_curr_share,SC_res_inter_SC_curr_share
Punjab,11,1991,136,31,0,31,24.7863247863248,0,0,3.41880341880342,31.93032221726416,0,31.93032221726416,0,333,.2279411764705882,0,.2279411764705882,0,791.4353370091122
Rajasthan,12,1991,774,218,98,290,16.5,12,0,5.5,17.98084244213502,15.38220902241403,17.98084244213502,15.38220902241403,100,.2816537467700259,.1266149870801034,.3746770025839793,184.5865082689683,296.6839002952278
Tamil Nadu,13,1991,393,59,74,112,17.9487179487179,1.28205128205128,1,13.5593220338983,22.91389272945199,1.373543779818437,22.91389272945199,1.373543779818437,372,.1501272264631043,.188295165394402,.2849872773536896,1.760953563869789,411.2749977081116
Tripura,14,1991,14,6,1,7,11.6666666666667,28.3333333333333,0,3.33333333333333,16.25633059357289,35.93533503119696,16.25633059357289,35.93533503119696,196,.4285714285714285,.0714285714285714,.5,1018.167825883913,189.657190258351
Uttar Pradesh,15,1991,3189,559,460,988,21.2410501193317,.238663484486874,1,2.37529691211401,23.15866576665233,.2430605490419866,23.15866576665233,.2430605490419866,436,.1752900595798056,.1442458450925055,.3098149890247727,.0580096775756532,491.9143802463134
West Bengal,16,1991,200,34,25,49,20.0680272108844,5.78231292517007,1,7.14285714285714,27.55783813949599,7.317037403248637,27.55783813949599,7.317037403248637,615,.17,.125,.245,42.30939995075745,553.0314456565535
Assam,17,1991,966,135,192,327,6.349206349206351,12.6984126984127,1,3.96825396825397,7.177020862692229,18.12883900942698,7.177020862692229,18.12883900942698,230,.139751552795031,.1987577639751553,.3385093167701863,230.2074794847871,45.56838642979194
Andhra Pradesh,1,1992,1054,223,96,319,13.265306122449,5.10204081632653,0,5.78231292517007,17.74379632584747,7.77472755145729,18.01415490570492,7.980632683709851,200,.2115749525616698,.0910815939278937,.3026565464895636,39.66697730335351,235.3768900367525
Bihar,2,1992,468,67,41,104,15.1234567901235,8.641975308641971,0,3.08641975308642,15.29729840448375,7.404629745365549,15.24515394283286,8.202532414294881,568,.1431623931623932,.0876068376068376,.2222222222222222,63.99062742908496,231.3480314258352
Delhi,3,1992,102,2,0,2,16.3636363636364,0,0,7.27272727272727,18.8134164118101,0,21.88670616710519,0,4410,.0196078431372549,0,.0196078431372549,0,307.8559049205296
Gujarat,4,1992,626,202,40,242,7.14285714285714,14.2857142857143,0,2.1978021978022,7.030678856920533,19.86447174850993,7.018281176348045,20.92550337408056,178,.3226837060702875,.0638977635782748,.3865814696485623,283.7781678358564,50.2191346922895
Haryana,5,1992,301,52,0,52,18.8888888888889,0,0,6.66666666666667,21.20735074124015,0,21.55933352373425,0,300,.1727574750830565,0,.1727574750830565,0,400.5832917789808
Karnataka,6,1992,1164,264,235,362,14.7321428571429,.892857142857143,0,4.46428571428571,17.85714715391773,5.452871563864838,18.16959335536851,5.244695160478249,198,.2268041237113402,.2018900343642612,.3109965635738832,4.868635324879321,263.0740428925387
Kerala,7,1992,183,27,13,37,9.28571428571429,.714285714285714,0,5.71428571428571,10.81508328896292,1.40337682902445,10.98094781341347,1.446263705151277,664,.1475409836065574,.0710382513661202,.2021857923497268,1.00241202073175,100.4257733975129
Maharashtra,8,1992,2086,313,502,815,6.25,7.638888888888889,0,2.08333333333333,11.240665222445,12.43890756019694,11.47212532808509,13.23635592416757,209,.1500479386385427,.2406519654841802,.3906999041227229,95.0194327515044,70.25415764028122
Madhya Pradesh,9,1992,1952,250,242,492,13.75,23.4375,0,3.4375,14.83923800987247,27.823897568049,14.79553269123193,28.81994026513299,127,.1280737704918033,.1239754098360656,.2520491803278688,652.1225992511484,204.0395226357465
Odisha,10,1992,1153,200,137,331,14.9659863945578,23.1292517006803,0,4.76190476190476,16.67330918334277,24.03844987635893,16.69538828663288,24.32293920751082,172,.173460537727667,.1188204683434519,.2870771899392888,555.991357684493,249.5325183901635
Punjab,11,1992,217,29,0,29,24.7863247863248,0,1,5.12820512820513,31.4405224450943,0,31.93032221726416,0,340,.1336405529953917,0,.1336405529953917,0,779.295000775842
Rajasthan,12,1992,2025,441,373,743,16.5,12,0,5.5,17.85209727075928,14.94173010789014,17.98084244213502,15.38220902241403,103,.2177777777777778,.1841975308641975,.3669135802469136,179.3007612946817,294.5596049675282
Tamil Nadu,13,1992,423,45,67,94,17.9487179487179,1.28205128205128,0,13.5593220338983,22.29319262767442,1.321222619500828,22.91389272945199,1.373543779818437,378,.1063829787234043,.1583924349881797,.2222222222222222,1.693875153206187,400.1342266505654
Tripura,14,1992,48,7,11,18,11.6666666666667,28.3333333333333,0,3.33333333333333,16.40353513999181,35.29028976124097,16.25633059357289,35.93533503119696,203,.1458333333333333,.2291666666666667,.375,999.8915432351597,191.3745766332383
Uttar Pradesh,15,1992,3231,600,430,987,21.2410501193317,.238663484486874,0,2.37529691211401,22.87306386745323,.2177566594763022,23.15866576665233,.2430605490419866,447,.1857010213556174,.1330857319715258,.3054781801299907,.051970563120836,485.8478959912491
West Bengal,16,1992,269,58,29,77,20.0680272108844,5.78231292517007,0,7.14285714285714,26.86342345734959,7.038734686715951,27.55783813949599,7.317037403248637,630,.2156133828996283,.1078066914498141,.2862453531598513,40.70016655584055,539.0959129196019
Assam,17,1992,1073,119,233,352,6.349206349206351,12.6984126984127,0,3.96825396825397,7.134727582471105,17.92226065317254,7.177020862692229,18.12883900942698,236,.1109040074557316,.217148182665424,.3280521901211557,227.5842622625084,45.29985766648321
Andhra Pradesh,1,1993,884,175,92,267,13.265306122449,5.10204081632653,0,5.78231292517007,17.50099425167284,7.589808157036333,18.01415490570492,7.980632683709851,204,.1979638009049774,.1040723981900453,.3020361990950226,38.72351100528741,232.1560461956605
Bihar,2,1993,527,76,28,101,15.1234567901235,8.641975308641971,0,3.08641975308642,15.34835724939094,6.62334208823791,15.24515394283286,8.202532414294881,581,.1442125237191651,.0531309297912713,.1916508538899431,57.23875878724117,232.1202176605427
Delhi,3,1993,84,2,0,2,18.5714285714286,0,1,4.28571428571429,17.98699295076073,0,21.88670616710519,0,4626,.0238095238095238,0,.0238095238095238,0,334.0441547998426
Gujarat,4,1993,393,129,34,163,7.14285714285714,14.2857142857143,0,2.1978021978022,7.041235147877837,18.96105146386568,7.018281176348045,20.92550337408056,181,.3282442748091603,.0865139949109415,.4147582697201018,270.87216376951,50.29453677055595
Haryana,5,1993,268,40,0,40,18.8888888888889,0,0,6.66666666666667,20.89881658961591,0,21.55933352373425,0,308,.1492537313432836,0,.1492537313432836,0,394.7554244705229
Karnataka,6,1993,764,158,144,225,14.7321428571429,.892857142857143,0,4.46428571428571,17.58312474384728,5.635448875268121,18.16959335536851,5.244695160478249,202,.2068062827225131,.1884816753926702,.2945026178010471,5.031650781489395,259.0371056013222
Kerala,7,1993,175,33,23,46,9.28571428571429,.714285714285714,0,5.71428571428571,10.66392617679538,1.364298140132258,10.98094781341347,1.446263705151277,674,.1885714285714286,.1314285714285714,.2628571428571428,.974498671523041,99.02217164167143
Maharashtra,8,1993,1642,272,270,542,6.25,7.638888888888889,0,2.08333333333333,11.04784004931746,11.77456748672963,11.47212532808509,13.23635592416757,215,.1656516443361754,.1644336175395859,.3300852618757613,89.94461274585136,69.04900030823413
Madhya Pradesh,9,1993,1863,224,250,474,13.75,23.4375,1,3.75,14.88136986661344,26.86375911816649,14.79553269123193,28.81994026513299,131,.1202361782071927,.1341921631776704,.2544283413848631,629.6193543320271,204.6188356659349
Odisha,10,1993,822,128,109,225,14.9659863945578,23.1292517006803,0,4.76190476190476,16.65264767769981,23.77217239677341,16.69538828663288,24.32293920751082,176,.1557177615571776,.1326034063260341,.2737226277372263,549.8325588369365,249.22329857782
Punjab,11,1993,193,44,0,44,24.7863247863248,0,0,5.12820512820513,31.01123457664774,0,31.93032221726416,0,347,.227979274611399,0,.227979274611399,0,768.6545322416966
Rajasthan,12,1993,1269,244,282,481,16.5829145728643,12.0603015075377,1,4.52261306532663,17.73846195175824,14.55295318730449,17.98084244213502,15.38220902241403,106,.1922773837667455,.2222222222222222,.3790386130811663,175.5130032639738,294.1553992000107
Tamil Nadu,13,1993,699,102,158,209,17.9487179487179,1.28205128205128,0,13.5593220338983,21.74840206891488,1.275302360253499,22.91389272945199,1.373543779818437,383,.1459227467811159,.2260371959942775,.2989985693848355,1.635003025966021,390.355934570266
Tripura,14,1993,19,5,6,11,11.6666666666667,33.3333333333333,1,1.66666666666667,16.54060157210589,34.68966936020171,16.25633059357289,35.93533503119696,209,.2631578947368421,.3157894736842105,.5789473684210527,1156.322312006722,192.9736850079025
Uttar Pradesh,15,1993,2886,512,380,844,21.2765957446809,.236406619385343,1,3.3096926713948,22.61297554760279,.1947124171550382,23.15866576665233,.2430605490419866,458,.1774081774081774,.1316701316701317,.2924462924462924,.0460313042919712,481.1271393106989
West Bengal,16,1993,274,54,23,64,20.0680272108844,5.78231292517007,0,7.14285714285714,26.24605289560628,6.791307446574811,27.55783813949599,7.317037403248637,645,.1970802919708029,.0839416058394161,.2335766423357664,39.26946482713328,526.7065036873382
Assam,17,1993,1317,159,265,424,6.349206349206351,12.6984126984127,0,3.96825396825397,7.095109999014213,17.72874683620649,7.177020862692229,18.12883900942698,241,.1207289293849658,.2012148823082764,.3219438116932422,225.1269439518285,45.04831745405851
Andhra Pradesh,1,1994,959,184,137,321,13.265306122449,5.10204081632653,1,2.72108843537415,17.28173867377933,7.422821903622682,18.01415490570492,7.980632683709851,209,.191866527632951,.1428571428571428,.3347236704900938,37.87154032460551,229.2475538358485
Bihar,2,1994,884,210,45,243,15.1234567901235,8.641975308641971,0,3.08641975308642,15.39836493311272,5.858156933507478,15.24515394283286,8.202532414294881,594,.2375565610859728,.0509049773755656,.2748868778280543,50.62604757352139,232.8765067044831
Delhi,3,1994,125,1,0,1,18.5714285714286,0,0,4.28571428571429,17.60305345095358,0,21.88670616710519,0,4841,.008,0,.008,0,326.9138498034242
