"","Years","SCReser_mean.ts","STReser_mean.ts"
"1",1991,14.6075283486178,8.48101691652053
"2",1992,14.6075283486178,8.48101691652053
"3",1993,14.7443667254416,8.7785489543109
"4",1994,14.7443667254416,8.7785489543109
"5",1995,14.7262113151293,8.7785489543109
"6",1996,14.6734153658282,8.80300682708539
"7",1997,14.6734153658282,8.80300682708539
"8",1998,14.6501556850715,8.79945967958317
"9",1999,14.6501556850715,8.79945967958317
"10",2000,14.6501556850715,8.79945967958317
"11",2001,14.6861263574935,8.774969008998
"12",2002,14.7504676050183,8.76109553508013
"13",2003,14.829591645939,8.43101241487552
"14",2004,14.829591645939,8.43101241487552
"15",2005,14.9022132871881,7.92266092613188
"16",2006,14.9022132871881,7.92266092613188
"17",2007,14.9293788266876,7.98730216724371
"18",2008,14.9791139381235,8.51155317199344
"19",2009,15.4434663457532,8.61284368819992
"20",2010,15.4192591320035,8.66125811569931
"21",2011,15.6916244884025,8.65812865878834
"22",2012,15.8574559160935,8.62580803823243
"23",2013,16.1221617984464,8.62580803823243
"24",2014,16.1970084037552,8.52096610145772
"25",2015,16.1970084037552,8.52096610145772
"26",2016,16.2065436059882,8.52139951974104
"27",2017,16.2065436059882,8.52139951974104
"28",2018,16.2365546703034,8.46217591696781
"29",2019,16.2229818895929,8.47149471297936
